file	line	key	verdict	evidence	text
parity/ledger/game-arena.yaml	83	deferred	note-is-fix	Same shape: the record of the arenaStash save fix at PORT_TODO 4.1.	"A save taken mid-fight USED to lose the pre-arena level, because it was a closure variable in makeChangeLevel. It is state.arenaStash now and round-trips; a save written before the key exists still reloads with the old fall-through, which is why loadGame keeps passing inArena."
parity/ledger/game-arena.yaml	87	deferred	n-a	Wrong about UPSTREAM, not the port. EVENT_GEN_LEVEL_START has no user-facing consumer in 4.2.6 - its only subscriber is wiz-stats.c:2635, the cgenstat statistics collector. There are no arena banners to defer.	"EVENT_GEN_LEVEL_START(\"arena\"): nothing to defer, because there are no arena banners upstream either. Its only subscriber in 4.2.6 is wiz-stats.c:2635, the cgenstat statistics collector - a debug tool. This row described a UI that does not exist."
parity/ledger/game-cave-cmd.yaml	50	deferred	partial	Locked/jammed doors and do_cmd_lock_door ARE ported and wired (cave-cmd.ts:93/:369, supplied at session/game.ts:1716; cmd.ts:160 records why "lock" has no game_cmd of its own). Exactly one branch is owed: disarming a door LOCK, which upstream reaches through do_cmd_disarm_aux walking the square's trap list for the first TRF_TRAP (cmd-cave.c:791-807) - the port does not yet represent a door lock as a trap instance. One branch, not the subsystem.	Locked / jammed doors and do_cmd_lock_door ARE ported and wired: the isLockedDoor / pickLock seams (game/cave-cmd.ts:93, :369) are supplied for real at session/game.ts:1716, and cmd.ts:160 records that "lock" has no upstream game_cmd of its own because do_cmd_lock_door is reached through the door-lock branch. ONE branch is owed: disarming a door lock. Upstream reaches it through do_cmd_disarm_aux,
parity/ledger/game-cave-cmd.yaml	58	deferred	ported	LEAD READ. The swap-digger machinery is done and the source says so at game/cave-cmd.ts:23 - "NOW PORTED (was deferred): the swap-digger machinery (player_best_digger...)" - recomputing DIGGING through state.bestDiggerDigging, RNG-free and input-only to the roll (:109-110). The ledger note was never updated when the code was.	The swap-digger machinery (player_best_digger + the temporary calc_bonuses with a swapped weapon): digging reads the wielded state's DIGGING skill.
parity/ledger/game-cave-cmd.yaml	61	deferred	ported	LEAD READ. do_cmd_alter_aux is fully ported at game/cave-cmd.ts:1067 with all SEVEN branches in the C's order (L974-997): attack, tunnel, open, floor-trap disarm, trapped chest, closed chest, open door, else "You spin around." The note named two missing branches; PORT_TODO 2.3 found FOUR plus a fall-through that spent no energy, and closed them. Note is stale.	do_cmd_alter_aux's chest and floor-trap-disarm fallback branches (alter IS bound, to "+", at web/src/main.ts:8090).
parity/ledger/game-cave-cmd.yaml	63	deferred	not-a-deferral	The header of the split. The original row bundled five things with five different answers, which is why it could never be closed; the five now stand as their own rows below it.	SPLIT (2026-08-07): this row named five things that now have five different answers, and a row like that can never be closed. The five, separately:
parity/ledger/game-cave-cmd.yaml	65	deferred	real	do_cmd_steal is ported (game/steal.ts) and bound to "s", but its shapechanged-player gate is not: there is no "shape" reference anywhere in steal.ts. Small and specific.	do_cmd_steal is PORTED (game/steal.ts, "ported from do_cmd_steal / do_cmd_steal_aux") and bound to "s". Its shapechanged-player gate is NOT: there is no "shape" reference anywhere in steal.ts. That gate is the owed part, and it is the only owed part of the steal half.
parity/ledger/game-cave-cmd.yaml	69	deferred	ported	run / explore / pathfind / navigate are all ported - game/player-path.ts:27, cmd.ts:48 and :201, and upkeep->steps at game/context.ts:986.	run / explore / pathfind / navigate are PORTED (game/player-path.ts:27, cmd.ts:48 and :201, upkeep->steps at game/context.ts:986).
parity/ledger/game-cave-cmd.yaml	71	deferred	ported	Command repetition closed as PORT_TODO 2.12, on the LIVE repeat path rather than a parallel one.	Command repetition is PORTED and closed as PORT_TODO 2.12, on the LIVE repeat path rather than a parallel one.
parity/ledger/game-cave-cmd.yaml	73	deferred	real	count_feats' single-target direction inference - the "exactly one adjacent door, so open THAT one" shortcut - is genuinely absent.	count_feats' single-target direction inference is genuinely absent - the "there is exactly one adjacent door, so open THAT one" shortcut.
parity/ledger/game-cave-cmd.yaml	75	deferred	not-a-deferral	"Messages are hooks" describes the port's design; it is not a parity claim about anything missing.	"Messages are hooks" is a description of the port's design, not a deferral.
parity/ledger/game-effect-attack.yaml	70	deferred	ported	Task #19 (the monster-spell layer) has landed; this row was still waiting on it. mon/spell.ts breathDam is called at game/effect-attack.ts:224 off the breather's current hitpoints, so the dice-value stand-in is gone.	breath_dam IS ported and called: mon/spell.ts breathDam, read at game/effect-attack.ts:224 off the breather's current hitpoints. The "the dice value is used until then" half is spent.
parity/ledger/game-effect-attack.yaml	73	deferred	ported	Task #19 (the monster-spell layer) has landed; this row was still waiting on it. resolveAimedTarget is ported with both paths complete (used at effect-attack.ts:117 and :128) and game/target.ts supplies env.aimed for real.	resolveAimedTarget is ported with BOTH paths complete (used at game/effect-attack.ts:117 and :128) - confused direction, target-monster and decoy - and the real target system (game/target.ts) supplies env.aimed.
parity/ledger/game-effect-attack.yaml	76	deferred	ported	Both ported, and the two codes do NOT apply the same projection any more. PROJECT.AWARE is modelled (world/project.ts:39); effect_handler_PROJECT_LOS_AWARE is makeProjectLos(true) at effect-attack.ts:733, adding PROJECT_AWARE when context->aware (effect-handler-attack.c:1133, threaded at project-cast.ts:762); EF_BOLT_AWARE does the same at effect-attack.ts:159, so the hit registers as obvious and does not try to ID its own source.	Both are ported, and the two codes do NOT apply the same projection any more. PROJECT.AWARE is modelled (world/project.ts:39); effect_handler_PROJECT_LOS_AWARE is makeProjectLos(true) at game/effect-attack.ts:733, adding PROJECT_AWARE when context->aware (effect-handler-attack.c:1133, threaded at game/project-cast.ts:762); and EF_BOLT_AWARE does the same at effect-attack.ts:159 (`ctx.aware ? PROJE
parity/ledger/game-effect-attack.yaml	84	deferred	ported	Task #19 (the monster-spell layer) has landed; this row was still waiting on it. EF_LASH picks monsterTargetMonster, then monsterIsDecoyed / caveFindDecoy, then the player - upstream's exact order, at effect-attack.ts:369-379.	EF_LASH's monster-vs-monster target and decoy branches are ported (game/effect-attack.ts:369-379): monsterTargetMonster first, then monsterIsDecoyed / caveFindDecoy, then the player - upstream's exact order.
parity/ledger/game-effect-detect.yaml	41	deferred	ported	Found absent and fixed in the same pass. The chest-identification loop of effect_handler_DETECT_TRAPS (effect-handler-general.c:1354-1376) had no port at all; it is now at effect-detect.ts:204 with the "Hack - see the object" (objectSeeAt) and the obj.knownPval write. Its stated blocker - object knowledge - had closed as PORT_TODO 2.9, and ignore_item_ok as obj/ignore.ts:381. Four mutants killed: dropping the loop, dropping the object_see, dropping the ignore guard, and (in search) reverting the per-object test to the per-grid gate.	Chest-trap identification inside DETECT_TRAPS is PORTED (2026-08-07). The "scan all objects in the grid to look for traps on chests" loop (effect-handler-general.c:1354-1376) is at effect-detect.ts:204, including the "Hack - see the object" that gives an unseen chest a memory before writing obj->known->pval. What it waited on was the PER-OBJECT remembered pile, and PORT_TODO 2.9 built it: obj.know
parity/ledger/game-effect-detect.yaml	51	deferred	ported	FOUND ABSENT AND FIXED IN THE SAME PASS (recorded ported rather than real for the same reason as game-effect-general:76 - the count guard derives owed work from `real`). detect_monsters does rf_on(lore->flags, RF_INVISIBLE); the port did not, so a Potion of Detect Invisible left no trace in the recall while merely SEEING the same ghost recorded the flag (known.ts:932). Fixed in the SHARED helper as upstream has it, so any detector that sweeps up a ghost teaches invisibility - a test covers DETECT_EVIL specifically, because putting the call in the DETECT_INVISIBLE handler alone would pass the obvious test and still be wrong. Mutation-checked: disabling the call kills both tests. The monster recall WINDOW refresh stays deferred under #25.	Invisible-monster lore learning is PORTED (2026-08-06). detectMonsters now does rf_on(lore->flags, RF_INVISIBLE) for every invisible monster it marks, in the shared helper as upstream does - so an Evil-detection that sweeps up a ghost teaches invisibility too, not just DETECT_INVISIBLE. "Rides lore (#24)" had been spent: the lore store is game/known.ts's, and known.ts:932 turns the same bit on whe
parity/ledger/game-effect-env.yaml	38	deferred	ported	the "next increment" happened: registerAttackHandlers is called at session/game.ts:1103 and registerMeleeHandlers at :1109, so EF_BOLT / BALL / BREATH and the rest are in the live registry.	The attack effect handlers (EF_BOLT / BALL / BREATH / ...) are dispatched through the projection-casting spine (game/project-cast.ts) and are wired into the registry in the next increment via a game env slot.
parity/ledger/game-effect-env.yaml	41	deferred	ported	both defaults are replaced in the live game. player_inc_check runs through playerIncCheck (game/player-side.ts:164); dam_red / perc_dam_red come from the reduction supplier at session/game.ts:1235 and worldReduction at game/world.ts:125, both reading playerState off calc_bonuses.	A real damage reduction and player_inc_check state from calc_bonuses replace the zero / allow-all defaults.
parity/ledger/game-effect-general.yaml	76	deferred	ported	FOUND ABSENT AND FIXED IN THE SAME PASS, so it is no longer owed - recorded as ported rather than real for that reason (the count guard derives owed work from `real`). Upstream prints "Your %s (%c) ..." at effect-handler-general.c L2044/L2074; the port printed neither letter, so two items sharing a base name were indistinguishable in the message. Both messages now carry GEAR_LABELS[slot], the table known.ts:775 already indexes. Mutation-checked: dropping the letter from BOTH messages kills a test, and dropping it from the ARTIFACT message alone - the half-fix that reads as done - kills it too.	The disenchant messages are WHOLE (2026-08-06). ODESC_BASE was already describeObject(state, obj, ODESC.BASE); the equipment letter was the missing half and is now printed by both messages, resist and hit. gear_to_label's equipment branch (obj-gear.c:452) is one index into GEAR_LABELS by body slot, and disenchantEquipment already holds that slot - "rides the display layer (#25)" described a lookup
parity/ledger/game-effect-general.yaml	83	deferred	divergence	Ratified model difference, not a gap. The port has no obj->known mirror struct to sync: knowledge is rune-based (obj/knowledge.ts) and the shadow is derived on demand by objectKnownShadow. Upstream's three assignments have no counterpart to write.	obj->known->to_h/to_d/to_a display sync - knowledge is rune-based here (obj/knowledge.ts).
parity/ledger/game-effect-general.yaml	85	deferred	ported	VERIFIED, and the excuse was spent: monsterIsDecoyed is exported from game/monster-turn.ts and imported by game/mon-ranged.ts:44 for monster_get_target_dist_grid, so decoy-aware monster targeting is live. The decoy's death is the shared destroyDecoy, which every caller in this file now routes through.	Monster-AI decoy targeting is PORTED. monsterIsDecoyed lives in game/monster-turn.ts (it needs the live cave for cave_find_decoy + los) and game/mon-ranged.ts:44 imports it for monster_get_target_dist_grid; the decoy itself is EF_GLYPH here and its death is destroyDecoy. mon/predicate.ts:17-19 has said so since that work landed.
parity/ledger/game-effect-general.yaml	90	deferred	ported	FOUND ABSENT AND FIXED IN THE SAME PASS (see the note on line 76 for why this is not `real`). effect-handler-general.c L580's t_mon branch was missing entirely, and it is upstream's FIRST branch - so a monster aiming a mana drain at another monster skipped a standing decoy and drained the player instead. Now monIncTimed(tMon, MON_TMD.DISEN) in first position. The "rides monster-spell targeting (#19)" excuse had expired: monsterTargetMonster is imported into this same file and used by MON_TIMED_INC 300 lines below. The MDESC half is fixed too. Mutation-checked twice: disabling the branch kills a test that leaves a decoy standing on purpose (proving the ORDER, not just the presence), and reverting "appears healthier" to the race name kills another. update_smart_learn(PF_NO_MANA) remains open under lore (#24), so this file is not closed.	DRAIN_MANA's monster-vs-monster branch is PORTED (2026-08-06), and it was a live defect rather than a missing subsystem: a monster draining another monster fell through to the decoy and then to the PLAYER's mana. monsterTargetMonster (game/effect-mon-origin.ts) was already imported into this file and used by MON_TIMED_INC below, so "rides monster-spell targeting (#19)" had been spent for some time
parity/ledger/game-effect-general.yaml	99	deferred	ported	VERIFIED: handleDRAIN_STAT already reads ctx.env.showDamage for the " (N)" suffix, which effect-env.ts:238 resolves from state.options.get("show_damage"). The options system (#30) landed and nobody came back to this note - the same shape as the two RECALL items in the sentence following it.	DRAIN_STAT's show_damage " (%d)" suffix is PORTED - the options system landed and ctx.env.showDamage (game/effect-env.ts:238) feeds it. RECALL is no longer on this list either: birth_no_recall (with its !total_winner exemption), birth_levels_persist, total_winner and the arena refusal are all live, and player_set_recall_depth (player-util.c L79) backs the countdown in game/loop.ts instead of the o
parity/ledger/game-effect-item.yaml	65	deferred	divergence	Re-verdicted from `partial`: nothing here is OWED. The descriptions are live (describeObject with real ODESC modes at effect-item.ts:394, :445, :616, :730) and the known twin is synthesised on demand, so there is no copy to sync. The one remaining piece, the recharge_pow failure-RATE readout, is a DIVERGENCE forced by ordering rather than a presentation deferral: upstream rolls `strength` and THEN prompts (effect-handler-general.c:2130-2144), so the rate it prints is the rate that will apply; this port pre-resolves the item target before the effect runs (itemTargetRequest, an RNG-free probe chosen so the effect executes exactly once and the RNG stream stays faithful), so by the time `strength` exists the pick is made. The stream is identical either way - nothing between the roll and the prompt draws - and printing an approximation would show a number the game then does not use.	The descriptions are LIVE, not the kind's base name: this module calls describeObject with the real ODESC modes throughout (effect-item.ts:394 and :445 with ODESC.BASE, :616 and :730 with ODESC.FULL). obj->known's to_h/to_d/to_a "display sync" needs nothing here - the port synthesises the known twin on demand from rune knowledge rather than storing a copy to sync. The recharge_pow failure-RATE rea
parity/ledger/game-effect-item.yaml	80	deferred			REMOVE_CURSE's known-twin curse tester (obj->known->curses) is read from the live curses (knowledge is rune-based); show_damage (#30).
parity/ledger/game-effect-item.yaml	82	deferred	ported	Both wired. total_weight upkeep is effect-item.ts:638; history_lose_artifact is :629, firing state.onArtifactLost (installed by wireGame) when acid or disenchantment destroys an artifact.	Both are wired. The total_weight upkeep is effect-item.ts:638 (upkeep.totalWeight += newWeight - oldWeight), and history_lose_artifact is :629 - an artifact destroyed by acid or disenchantment fires state.onArtifactLost, which wireGame installs.
parity/ledger/game-effect-item.yaml	86	deferred			EVENT_INPUT_FLUSH and the PN_COMBINE / PR_ redraws ride presentation.
parity/ledger/game-effect-item.yaml	87	deferred			Monster casts never reach these handlers (mon-cast deps omit the item env); upstream reaches them only through player commands too.
parity/ledger/game-effect-melee.yaml	44	deferred	note-is-fix	LEAD READ. The row's own text records a completed fix, not a deferral. Verified rather than taken on trust, because it claims EF_SINGLE_COMBAT is done while PORT_TODO 4.1 (arena) is open: handleSINGLE_COMBAT exists at game/effect-melee.ts:277 and is registered in the handler table at :534, and the two are consistent - the EFFECT is ported, arena LEVEL GENERATION (arena_gen, the mon_take_hit branch) is what 4.1 still owes. Note: effect-melee.ts:23 still says "rides arena levels (not modelled)" and is stale.	Every formerly-deferred handler is now DONE: EF_WONDER / EF_BIZARRE (game-effect-attack / general), EF_COMMAND (game-mon-cmd), EF_PROBE (mon-lore), EF_SHAPECHANGE (game-shape) and EF_SINGLE_COMBAT (game-arena) - the effect_kind[] surface is fully ported.
parity/ledger/game-effect-melee.yaml	48	deferred	note-is-fix	LEAD READ. The row's own text records the completed work - target_set_closest "is now the real game/target.ts implementation". Confirmed: effect-melee.ts:62 imports targetSetClosest and :72 documents the target_set_closest(TARGET_KILL, pred) then target_get_monster sequence. Census noise, not a deferral.	target_set_closest's bookkeeping (target_set_monster, healthWho, the "No Available Target." / "%s is targeted." messages) is now the real game/target.ts implementation; the messages flow through state.msg (the world-event sink), not the effect context's.
parity/ledger/game-effect-melee.yaml	52	deferred	ported	All four things this row deferred landed, at different times, with nobody revisiting the row. message_pain including the show_damage branch is effect-melee.ts:188-190 and the pain lines go on the mon_msg[] queue with real grammar (PORT_TODO 3.1); MSG_TELEPORT plays for the JUMP_AND_BITE jump (effect-melee.ts:374, PORT_TODO 3.26); the killer name was PORT_TODO 3.2. The last piece was the KILL line, which said `race name + note` - "Kobold dies." - where mon-util.c:1018/1024/1050-1051 builds it with monster_desc under MDESC_DEFAULT|MDESC_COMMA and my_strcap. effect-melee.ts:174 now does the same and reads "The kobold dies.". One mutant killed.	CLOSED (2026-08-07). All four things this row deferred have landed, at different times and with nobody revisiting the row. message_pain including the message_pain_show_damage branch under OPT(player, show_damage) is effect-melee.ts:188-190, and the pain lines go on the mon_msg[] queue with the real grammar rather than the reduced flee line (PORT_TODO 3.1). MSG_TELEPORT is played for the JUMP_AND_B
parity/ledger/game-effect-melee.yaml	63	deferred	partial	EF_MOVE_ATTACK itself is ported (effect-melee.ts:374), so the handler is not the gap; the reduction is narrow and named - the pass-through grids get movePlayer + updateFov + onPlayerMoved without autopickup or disturb. The row's second half is NOT owed: the early-death energy refund marked "Should return some energy" is unimplemented UPSTREAM too, so matching it is parity, and core keeps upstream's warts.	EF_MOVE_ATTACK itself is ported (effect-melee.ts:374, move up to four grids then land the melee blows) - the handler is not the gap. What IS reduced is narrow and named: the pass-through grids get movePlayer + updateFov + onPlayerMoved without autopickup or disturb. The second half of this row is NOT owed at all: the early-death energy refund marked "Should return some energy" is left unimplemente
parity/ledger/game-effect-monster.yaml	44	deferred	stale-doc	Arenas are modelled (PORT_TODO 4.1) and the guards are present at both sites in game/effect-monster.ts.	"NOT deferred: arenas are modelled (PORT_TODO 4.1) and the guards are here - game/effect-monster.ts refuses inside single combat at both sites upstream does."
parity/ledger/game-effect-monster.yaml	47	deferred	n-a	No analogue by construction: the renderer is immediate-mode and recomputes the panel each frame, so there is no redraw flag to raise. The state the flags gate is tracked - state.healthWho is set and cleared exactly where upstream sets and clears health_who (game/context.ts:1310, :1375).	"PR_MONLIST / PR_HEALTH have no analogue by construction: the renderer is immediate-mode and recomputes the panel every frame, so there is no redraw-flag to raise. The state they gate IS tracked - state.healthWho (game/context.ts) is set and cleared exactly where upstream sets and clears health_who."
parity/ledger/game-effect-monster.yaml	52	deferred	ported	Found ABSENT by this row and FIXED in the same pass, so it is no longer owed. mon/desc.ts has been ported for a long time and the heal handlers were still standing in mon.race.name and a hardcoded "its" - the messages read "kobold looks healthier." with no article and named an unseen monster outright. Now monsterDesc(mon, MDESC_STANDARD) and monsterDesc(mon, MDESC.PRO_VIS | MDESC.POSS), matching effect-handler-attack.c:268-271. effect-monster.test.ts covers it with the unseen case as the separating input; 2 mutations, 2 killed.	"NOT deferred any more, and this was a live message defect rather than a display nicety. monster_desc IS ported (mon/desc.ts) and the heal handlers now call it: MDESC_STANDARD for the name and MDESC_PRO_VIS|MDESC_POSS for the possessive, as effect-handler-attack.c:268-271 does. Standing in mon.race.name printed \"kobold looks healthier.\" with no article and named an UNSEEN monster outright where 
parity/ledger/game-effect-summon.yaml	26	deferred	ported	the guard is present: game/effect-summon.ts:55 "if (state.arenaLevel) return true;", matching effect-handler-general.c:1187. Arenas are modelled - see combat-melee.yaml:91.	The arena-level guard (player->upkeep->arena_level) - arenas are not modelled (SINGLE_COMBAT rides later #24 work).
parity/ledger/game-effect-summon.yaml	28	deferred	ported	game/effect-summon.ts:52 fires state.sound with the summon's msgt; the sound channel exists and is used across the game layer.	sound(message_type) rides the sound system (#26); the msgt channel on the blind message rides presentation (#25).
parity/ledger/game-effect-teleport.yaml	65	deferred	ported	Same hook, same site: game/effect-teleport.ts:67 / :271. update_view is reached through the game-layer context (game/context.ts), as the note anticipated	player_handle_post_move / handle_stuff: the FOV / light / target refresh after a teleport is the injected onPlayerPostMove / onMonsterPostMove hook (the game-loop layer wires update_view, as it already does for movement).
parity/ledger/game-effect-teleport.yaml	68	deferred	ported	Both: hasNoTeleport is on the teleport env (game/effect-teleport.ts:61) and gates the teleport at :251, and equipLearnFlag is ported (obj/knowledge.ts) and wired at six live sites including game/effect-general.ts:388 and game/loop.ts:224	The OF_NO_TELEPORT curse and its equip_learn_flag: injected as hasNoTeleport / onLearnNoTeleport (object flags on the player are calc_bonuses / gear state, #13 rune learning).
parity/ledger/game-effect-teleport.yaml	71	deferred	ported	monsterTargetMonster is ported and called (game/effect-attack.ts:370), and the targeting subsystem it waits on is built - target_able / target_set_monster / target_set_location all live in game/target.ts	monster_target_monster (the monster-vs-monster targetMonster) and the Dimension Door aim prompt (getAimTarget): monster spells (#19) and targeting (#24); target_able / target_set_monster / target_set_location clears are the same targeting subsystem.
parity/ledger/game-effect-teleport.yaml	75	deferred	ported	The whole set is ported: game/quest.ts carries isQuest (:100) and dungeonGetNextLevel (:126), both imported and used by game/cave-cmd.ts (:68, :1099), and birth_force_descend is read from the options store at game/effect-general.ts:601	dungeon_get_next_level / dungeon_change_level and is_quest / birth_force_descend for TELEPORT_LEVEL: level change and quests (#23); injected as getNextLevel / changeLevel / isQuest / forceDescend / maxPlayerDepth / maxDepth.
parity/ledger/game-effect-teleport.yaml	78	deferred	ported	The predicates are ported in game/trap.ts and used: squareIsPlayerTrap and squareIsWebbed (game/dump-level.ts:21, :92) and squareIsWarded (game/effect-terrain.ts:66, applied at :768 to exclude a warded destination)	The trap / glyph-ward / damaging-terrain / web destination predicates (square_isplayertrap / _iswarded / _isdamaging / _iswebbed): traps (#21) and damaging terrain; injected predicates that default to absent.
parity/ledger/game-effect-teleport.yaml	81	deferred	ported	Arena levels and decoys read their live GameState counterparts, which is what the row says - it records a wiring decision, not an absence.	Arena levels and decoys (cave_find_decoy / square_destroy_decoy) use their live GameState counterparts.
parity/ledger/game-effect-teleport.yaml	83	deferred	note-is-fix	The row IS the record of the PORT_TODO 3.26 sound fix.	The SOUND is no longer deferred. MSG_TELEPORT / MSG_TPOTHER / MSG_TPLEVEL now go through state.sound at every site upstream calls sound() (PORT_TODO 3.26, closed 2026-08-05): the two swap sites in EF_TELEPORT and EF_TELEPORT_TO, teleportPlayer / teleportPlayerTo / teleportMonster, both arms of EF_TELEPORT_LEVEL and of EF_DEEP_DESCENT, EF_JUMP_AND_BITE's jump, and the four process_world level-chang
parity/ledger/game-effect-teleport.yaml	91	deferred	ported	Found ABSENT by this row and FIXED in the same pass, so it is no longer owed. The row had already worked out that "the message queue is not modelled" had outlived the subsystem (PORT_TODO 3.1) and that this was an ordinary missing call. A failed teleport whose caster is a monster now queues MON_MSG_BRIEF_PUZZLE through addMonsterMessage, gated on square_isseen of the caster's grid (effect-handler-general.c:2643-2650). Two tests - seen and unseen; 2 mutations, 2 killed.	"FIXED 2026-08-06. The monster \"puzzled\" line (effect-handler-general.c:2643-2650, MON_MSG_BRIEF_PUZZLE) is emitted: a failed teleport whose caster is a monster queues it through addMonsterMessage, gated on square_isseen of the caster's grid exactly as upstream gates it. This row is what found it - it had already worked out that the excuse (\"the message queue is not modelled\") had outlived the
parity/ledger/game-effect-terrain.yaml	53	deferred	ported	Every function this row deferred is ported AND called - squareMemorize (cave-cmd.ts:495), squareKnowPile (known.ts:442), squareSensePile (effect-detect.ts:352, picked by the `full` flag as cave-map.c:445-452 does), PF_UNLIGHT (player/calcs.ts:684). square_light_spot is the ratified unconditional-repaint divergence. The last piece, the player->cave shadow, closed as PORT_TODO 2.9.	The square-memory functions this row defers are all PORTED and CALLED: squareMemorize (game/cave-cmd.ts:495, gated on !knownIsPerm), squareKnowPile (game/known.ts:442) and squareSensePile (game/effect-detect.ts:352, chosen by the `full` flag exactly as cave-map.c:445-452 does). PF_UNLIGHT is modelled at player/calcs.ts:684. square_light_spot is a redraw and falls under the ratified unconditional-r
parity/ledger/game-effect-terrain.yaml	64	deferred	ported	Both are ported: exposeToSun at game/project-feat.ts:95 (driving the KILL_WALL path, documented at :11) and isDaytime at game/world.ts, used at game/object-inspect.ts:75. Arena levels not being modelled is the Tier 4 arena item, not this row	expose_to_sun / is_daytime on the surface ride the town day-night cycle; arena levels are not modelled (depth 0 takes the town branch).
parity/ledger/game-effect-terrain.yaml	66	deferred	partial	Halved. show_damage on EARTHQUAKE is now ported - the quake reads ctx.env.showDamage and picks addMonsterMessageShowDamage. birth_levels_persist on CREATE_STAIRS remains an option-layer item (#30), and the total_winner recall interplay belongs to RECALL's ledger.	birth_levels_persist (CREATE_STAIRS) is an option (#30); total_winner recall interplay is with RECALL's ledger. show_damage on EARTHQUAKE is PORTED (2026-08-07) - the quake reads ctx.env.showDamage and picks addMonsterMessageShowDamage, so a quaked monster's line carries " (N)".
parity/ledger/game-effect-terrain.yaml	70	deferred	ported	"Nothing marks artifacts created yet, so a destroyed artifact can regenerate" is flatly stale, and THIS SITE is one of the eight that mark it: game/effect-terrain.ts:555, state.artifacts?.markCreated(obj.artifact.aidx, lostForever). ArtifactState is aup_info[] (obj/make.ts:736), serialized in the save, and marked from make.ts:903/:996, mon-death.ts:192 and three wizard sites	DESTRUCTION's artifact bookkeeping (history_lose_artifact / mark_artifact_created) rides artifact upkeep (#24) - nothing marks artifacts created yet, so a destroyed artifact can regenerate; EARTHQUAKE's square_changeable artifact check IS ported (artifact piles shield their grid).
