disposition	reason	file	line	verdict	evidence	text
note-rewritten	the note was rewritten in 11a039d93 "PORT_TODO 3.9: the character sheet's launcher contribution"; packages/core/src/game/ui-entry.ts still carries 3 deferral note(s), none with this text	packages/core/src/game/ui-entry.ts	1392	real	The launcher-slot reach plus KF_SHOOTS_ARROWS is genuinely absent, so this entry contributes 0 where upstream contributes the launcher's value	/* Needs the equipped launcher + KF_SHOOTS_ARROWS; deferred -> 0. */
note-rewritten	the note was rewritten in e6cd3399b "Persistent levels crashed one descent in eight, and the row named none of it"; packages/core/src/gen/cave.ts still carries 1 deferral note(s), none with this text	packages/core/src/gen/cave.ts	30	real	The town builder's full store generation and persistent-level connectors	* DEFERRED: the town builder's full store generation and persistent-level
note-rewritten	the note was rewritten in e6cd3399b "Persistent levels crashed one descent in eight, and the row named none of it"; packages/core/src/gen/cave.ts still carries 1 deferral note(s), none with this text	packages/core/src/gen/cave.ts	31	real	Second half of the same claim; the single-combat arena level is generated elsewhere	* connectors remain deferred. The single-combat arena level is generated in
note-rewritten	the note was rewritten in b83ad8eec "Word of Recall sent you to level 1 by accident, and the quest system had five holes"; packages/core/src/gen/cave.ts still carries 1 deferral note(s), none with this text	packages/core/src/gen/cave.ts	2833	real	Quest-system dungeon profile	* a dungeon profile; it lives with the deferred quest system.)
note-rewritten	the note was rewritten in b83ad8eec "Word of Recall sent you to level 1 by accident, and the quest system had five holes"; packages/core/src/gen/generate.ts still carries 3 deferral note(s), none with this text	packages/core/src/gen/generate.ts	11	real	Arena and quest level generation	* DEFERRED (ledgered in parity/ledger/gen-framework.yaml): arena and quest
note-rewritten	the note was rewritten in e6cd3399b "Persistent levels crashed one descent in eight, and the row named none of it"; packages/core/src/gen/generate.ts still carries 3 deferral note(s), none with this text	packages/core/src/gen/generate.ts	249	divergence	The port's Connector carries grid + feat rather than a SQUARE info copy; matters only when persistent levels arrive	* a deferred detail (the port's Connector carries grid + feat). Feeds the next
note-rewritten	the note was rewritten in 85a061584 "PORT_TODO 3.22: purple_uniques recolours the lore title"; packages/core/src/mon/lore-describe.ts still carries 7 deferral note(s), none with this text	packages/core/src/mon/lore-describe.ts	1348	partial	LEAD READ. Three claims, two of them the shell's by construction (the secondary glyph and the tile width/height gating are presentation state the headless lore model does not carry). The third is real and small: OPT(purple_uniques) IS a live option (generated/options.ts:25, honoured by the map text layer per visuals/map-text.test.ts:26) and the lore title does not recolour a unique's name with it	* DEFERRED: the optional secondary glyph (monster_x_char / monster_x_attr,
note-rewritten	the note was rewritten in c14fe963e "Two gaps whose excuses pointed at code doing the opposite"; packages/core/src/mon/steal.ts still carries 2 deferral note(s), none with this text	packages/core/src/mon/steal.ts	32	real	LEAD READ. The claim stands but its comparison is FALSE and must be fixed in the comment: reactToSlay IS ported (combat/brand-slay.ts:152) and the player's EAT_ITEM blow DOES apply it (game/mon-side.ts:421), so "deferred exactly as the EAT_ITEM blow already defers it" describes a state that no longer holds. combat/mon-melee.ts:36 already records the true remainder	* react_to_slay blocking the monster-thief path (midx >= 0) is deferred exactly
note-rewritten	the note was rewritten in c14fe963e "Two gaps whose excuses pointed at code doing the opposite"; packages/core/src/mon/steal.ts still carries 2 deferral note(s), none with this text	packages/core/src/mon/steal.ts	33	real	Same claim, second line	* as the EAT_ITEM blow already defers it (game/mon-side.ts / mon-cmd.ts). The
note-rewritten	the note was rewritten in c14fe963e "Two gaps whose excuses pointed at code doing the opposite"; packages/core/src/mon/steal.ts still carries 2 deferral note(s), none with this text	packages/core/src/mon/steal.ts	231	real	Same gap at the site	* blocking the theft is DEFERRED (no RNG), as the player EAT_ITEM path. */
note-rewritten	the note was rewritten in c14fe963e "Two gaps whose excuses pointed at code doing the opposite"; packages/core/src/mon/steal.ts still carries 2 deferral note(s), none with this text	packages/core/src/mon/steal.ts	234	real	LEAD READ. The one genuine remainder, and the whole of it: the monster-vs-monster theft path does not call reactToSlay (vs mon-util.c:1548), so a slay-bearing item cannot resist being stolen monster-from-monster. No RNG impact. The function is right there in combat/brand-slay.ts:152	if (!obj /* || react_to_slay(obj, thief) -- DEFERRED */) {
note-rewritten	the note was rewritten in 7d8dff193 "Wire two dead mon_take_hit branches; adjudicate 19 ledger rows"; packages/core/src/mon/take-hit.ts still carries 1 deferral note(s), none with this text	packages/core/src/mon/take-hit.ts	17	real	The arena branch, with the rest of arena mode	* Deferred: the arena-level branch (arena mode is not modelled) and the
note-rewritten	the note was rewritten in 3c05c676c "PORT_TODO 3.23: the real ODESC_BASE, at all three consumers"; packages/core/src/obj/known-object.ts still carries 1 deferral note(s), none with this text	packages/core/src/obj/known-object.ts	160	stale-doc	LEAD READ. The note says "the flavour TEXT (adjective / scroll title) remains unavailable". It is available: flavorInit is ported (obj/flavor.ts:111), AssignedFlavor carries flavor->text (flavor.ts:42), the assignment is installed by wireGame (game/describe.ts:26) and desc.ts:173 reads it through deps.flavorText. What remains is only the local approximation - kindHasFlavor tests the tval instead of consulting deps.hasFlavor - which the interface itself notes agrees in practice for every shipped kind (known-object.ts:121-124)	* flavour by flavor_init. DEFERRED: the flavour TEXT (adjective / scroll title)
note-rewritten	the note was rewritten in 5a5b518a8 "Three generation foils wired to stores and to nothing else: PORT_TODO 2.15"; packages/core/src/obj/make.ts still carries 2 deferral note(s), none with this text	packages/core/src/obj/make.ts	1238	real	The book out-of-depth value boost out-parameter	* the *value out-parameter with its out-of-depth boost. DEFERRED: book
note-rewritten	the note was rewritten in c460f2ee0 "PORT_TODO 3.20: temporary brands and slays in object info"; packages/core/src/obj/object-info.ts still carries 1 deferral note(s), none with this text	packages/core/src/obj/object-info.ts	962	real	The COMBAT half of temporary brands/slays is ported (combat/brand-slay.ts:141-201, player_has_temporary_brand/slay); only the object-info display of them is missing	/* Temporary (timed) brands/slays are DEFERRED with the timed-brand system. */
note-rewritten	the note was rewritten in 2643b2605 "OSTACK_LIST has no caller in 4.2.6 (PORT_TODO 2.11)"; packages/core/src/obj/object.ts still carries 7 deferral note(s), none with this text	packages/core/src/obj/object.ts	909	divergence	Player-knowledge inputs come from Player.objKnown and the shadow	* ignoring inscriptions? Player-knowledge inputs are deferred (module
note-rewritten	the note was rewritten in 2643b2605 "OSTACK_LIST has no caller in 4.2.6 (PORT_TODO 2.11)"; packages/core/src/obj/object.ts still carries 7 deferral note(s), none with this text	packages/core/src/obj/object.ts	923	real	OSTACK_LIST's unknown-item stacking checks: two objects the player cannot tell apart must not merge in a LIST context. The shadow can answer this, so it is owed rather than impossible	/* DEFERRED: OSTACK_LIST unknown-item checks (knowledge system). */
note-rewritten	the note was rewritten in 2643b2605 "OSTACK_LIST has no caller in 4.2.6 (PORT_TODO 2.11)"; packages/core/src/obj/object.ts still carries 7 deferral note(s), none with this text	packages/core/src/obj/object.ts	1000	real	OSTACK_LIST fully-known mismatch check, same site family	/* DEFERRED: OSTACK_LIST fully-known mismatch check. */
note-rewritten	the note was rewritten in 83e9041b3 "A branch wired the whole way down, and never once observed"; the line survives under wording that no longer claims a deferral	packages/core/src/obj/randart-build.ts	38	ported	CLOSED by PORT_TODO 5.7 (2026-08-06) as a RETRACTION - the tables are bound (player/bind.ts:733), curseTimedIncFoiled walks them for FLAG_OBJECT/RESIST/VULN exactly as obj-curse.c:267-296 does, and BOTH swapRandartSet call sites (birth game.ts:2882, load :3603) supply buildCurseTimedFoil(players.timed). The missing piece was the assertion that the shipped table yields a usable map and that the generator receives it - added in session/describe-wiring.test.ts, on a seed the sweep proved is foil-sensitive.	* property" branch depends on the timed-effects failure tables (not ported);
note-deleted	the note was deleted in 2878bf880 "randart.log is a file again, and half of it is written"; packages/core/src/obj/randart.ts now carries no deferral note at all	packages/core/src/obj/randart.ts	38	real	LEAD READ. The lead (obj/randart-build.ts) is do_randart's generation half, which is fully ported; the file dumps are not. The maintainer has ruled to pursue parity here, so randart.txt (create_file / write_randart_entry, obj-randart.c L3057-L3215) and randart.log are both owed through the host seam, together with the second measurement pass (store_base_power / parse_frequencies, L3184-L3187) that exists only to populate the log	* - Spoiler file (DEFERRED): upstream do_randart optionally writes randart.txt
note-rewritten	the note was rewritten in d79a331a5 "notice_stuff and the PN_* queue: PORT_TODO 1.1 and 2.5"; packages/core/src/session/game.ts still carries 4 deferral note(s), none with this text	packages/core/src/session/game.ts	542	partial	LEAD READ. Half wired, half not. The scan half of ignore_drop IS ported (ignoreDropTargets, game/ignore-cmd.ts:45) and IS driven by the shell (web/src/main.ts:3119, applyIgnoreDrop, on the '=' and 'K' paths with the verify_object confirmation and the "!d" decline hack). What is missing is only the trigger: state.noticeIgnore is set here (session/game.ts:551) and read by nothing, which is PN_IGNORE and belongs to the notice_stuff gap rather than to ignore_drop	* ignore_drop() pass (#25 UI, not yet wired) can react. Shared by the two
note-rewritten	the note was rewritten in de430ab4f "A store bought on runes the player had never learned"; packages/core/src/store/store.ts still carries 2 deferral note(s), none with this text	packages/core/src/store/store.ts	232	real	LEAD READ. Still real: object_flag_is_known's answer IS available - game/equip-cmp.ts:413 synthesises the obj->known shadow for exactly this question - and the store's buy check does not use it	* object_flag_is_known check is DEFERRED (needs the knowledge system); 4.2.6
note-rewritten	the note was rewritten in de430ab4f "A store bought on runes the player had never learned"; packages/core/src/store/store.ts still carries 2 deferral note(s), none with this text	packages/core/src/store/store.ts	262	real	LEAD READ. Same site, the buy-list loop: the flag test reads obj.flags directly with the object_flag_is_known gate commented out, so a store will buy on a flag the player has never learned	/* DEFERRED: && object_flag_is_known(player, obj, buy.flag). */
note-deleted	the note was deleted in 85f5e0809 "The birth screens advertised a help key and ate it"; packages/web/src/birth.ts now carries no deferral note at all	packages/web/src/birth.ts	1051	real	Upstream's birth screens offer help (ui-birth.c); the port answers the key with a no-op	// Help is not wired into birth in this port: a recognized no-op.
note-deleted	the note was deleted in e9a645364 "Two knowledge recalls that only ever printed a name"; packages/web/src/knowledge.ts now carries no deferral note at all	packages/web/src/knowledge.ts	1095	real	LEAD READ. Still real: object_info's computed lines exist (obj/object-info.ts, which already calls chanceOfMeleeHitBase at :1090), and desc_obj_fake's recall still shows only the name and the kind's flavour text	// computed flag/combat lines are deferred, so the recall shows the name and
note-deleted	the note was deleted in e9a645364 "Two knowledge recalls that only ever printed a name"; packages/web/src/knowledge.ts now carries no deferral note at all	packages/web/src/knowledge.ts	1185	real	LEAD READ. Still real, same shape: object_info_ego's flag lines are not produced, so ego recall shows the name and lore text only	// those computed lines are deferred, so the recall shows the ego name and
note-rewritten	the note was rewritten in e9a645364 "Two knowledge recalls that only ever printed a name"; packages/web/src/main.ts still carries 6 deferral note(s), none with this text	packages/web/src/main.ts	3697	real	Greying rather than omitting is a divergence forced by a real gap - the shape-lore textblock chain named on the next line	* knowledge state is not yet ported are shown greyed rather than omitted, so
note-rewritten	the note was rewritten in e9a645364 "Two knowledge recalls that only ever printed a name"; the line survives under wording that no longer claims a deferral	packages/web/src/main.ts	3701	real	The shape-lore textblock chain for Shapechange effects	* - Shapechange effects needs the shape-lore textblock chain (not ported);
note-rewritten	the note was rewritten in 58e42aa5c "Wire the twelve missing disturb() sites, and retract a wrong defect report"; packages/web/src/main.ts still carries 6 deferral note(s), none with this text	packages/web/src/main.ts	8410	note-is-fix	Records the state of things before updateFov was wired	* when updateFov was not yet wired (ui-display.c:2556-2557). */
file-gone	file no longer exists (556aa5b66 mods: delete RECOMMENDED_MODS, and stop calling an update an install); this row duplicated the same text under the file's new name, which is still in the census and still carries this verdict	packages/web/src/mod-catalogue.ts	449	not-a-deferral	A variable named `todo`	const todo = pick === 0 ? pending : [pending[pick - 1]];
file-gone	file no longer exists (556aa5b66 mods: delete RECOMMENDED_MODS, and stop calling an update an install); this row duplicated the same text under the file's new name, which is still in the census and still carries this verdict	packages/web/src/mod-catalogue.ts	450	not-a-deferral	A variable named `todo`	for (const u of todo) {
note-deleted	the note was deleted in 470bb5151 "The monster browser was the one with a renderer of its own"; packages/web/src/screens.ts now carries no deferral note at all	packages/web/src/screens.ts	872	real	The thematic monster_group columns of the upstream knowledge browser (the ui_knowledge.txt grouping) are not drawn; the flat list is the selectable membership only	* only and are deferred (a larger follow-up alongside object/artifact
note-deleted	the note was deleted in 1af8db33c "The command table was a const inside a keypress handler"; packages/web/src/wizard.ts now carries no deferral note at all	packages/web/src/wizard.ts	498	real	The command-list absence tracked with the wizard-mode rows	* port has not yet ported for any command list; that absence is tracked
note-deleted	the note was deleted in b1678219f "A mimic keeps its object, and loses it when it dies (PORT_TODO 2.14)"; parity/ledger/game-project-monster.yaml now carries no deferral note at all	parity/ledger/game-project-monster.yaml	50	partial	Targeting is wired; the mimic bookkeeping is not (same as game/context.ts:1153)	and targeting/redraw bookkeeping are deferred with their subsystems.
note-rewritten	the note was rewritten in 470bb5151 "The monster browser was the one with a renderer of its own"; parity/ledger/gamedata.yaml still carries 3 deferral note(s), none with this text	parity/ledger/gamedata.yaml	478	real	ui_knowledge.txt: it defines the knowledge browser's thematic grouping, and the browser IS ported, so the grouping columns are missing (see web/src/screens.ts:872)	Deferred: front-end/UI concern, not part of the core rules pack.
note-rewritten	the note was rewritten in e6cd3399b "Persistent levels crashed one descent in eight, and the row named none of it"; parity/ledger/gen-cave.yaml still carries 1 deferral note(s), none with this text	parity/ledger/gen-cave.yaml	49	partial	CORRECTED from real. hard_centre_gen IS ported (hardCentreGen, gen/cave.ts:1914, a greater vault surrounded by four caverns). Only arena_gen remains, with the rest of arena mode	hard_centre_gen and arena_gen are NOT ported. Their builder keys are
note-rewritten	the note was rewritten in 01acd33be "3.4 was never a gap: an unsupplied optional is not an unreachable feature"; parity/ledger/mon-lore-describe.yaml still carries 1 deferral note(s), none with this text	parity/ledger/mon-lore-describe.yaml	55	real	Monster spells are not bound to the casting race, so recall cannot show spell damage - the same family as the lore hit-chance gap	not bound to the casting race yet (mon/spell.ts defers them), so
note-rewritten	the note was rewritten in b167919a4 "Level rating was never missing, and the row that said so was right twice"; parity/ledger/mon-make.yaml still carries 2 deferral note(s), none with this text	parity/ledger/mon-make.yaml	32	partial	monCreateDrop and updateMon are ported; monster lore is wired (including lore.txt). Level rating has no port equivalent (0 references)	corrupt memory). Deferred (ledgered here): level rating, update_mon,
note-deleted	the note was deleted in 9469b953a "The monster messages go on a queue, which is what makes them read like Angband"; parity/ledger/mon-timed.yaml now carries no deferral note at all	parity/ledger/mon-timed.yaml	29	ported	CLOSED by PORT_TODO 3.1 (2026-08-05). mon_set_timed still reports through an optional MonTimedMessageSink because mon/ sits below game/, but the sink the game supplies IS add_monster_message(mon, m_note, true) (game/monster-turn.ts monsterTimedMessage), so the line is stacked on the delayed pass exactly as mon-timed.c:215 does it. This sink had no test at all until 3.1 - deleting its body broke nothing - and now has two.	monster-message queue (mon-msg.c add_monster_message) is not ported, so
note-rewritten	the note was rewritten in 6cd76634a "The display layer did the work and nobody came back to say so"; parity/ledger/obj-ignore.yaml still carries 1 deferral note(s), none with this text	parity/ledger/obj-ignore.yaml	84	note-is-fix	Records that the menu-edit / 'K' trigger of PN_IGNORE IS reproduced directly. The separate become-aware trigger is the gap tracked at game/context.ts:296	runs the drop pass right after a menu edit or 'K', with no deferred
note-rewritten	the note was rewritten in 31e90b785 "The corpus was loaded; nothing had asked whether it arrived"; parity/ledger/obj-randart.yaml still carries 1 deferral note(s), none with this text	parity/ledger/obj-randart.yaml	51	ported	CLOSED by PORT_TODO 5.4 (2026-08-06) as a RETRACTION - it was already ported and the ledger line was stale. randname_make/build_prob are obj/randname.ts against an independent oracle, the corpus is names.json section 1, boot.ts:163-165 loads it into CoreRegistries.nameSections, and session/game.ts:3458-3461 passes it to doRandart. The missing assertion, now added in session/describe-wiring.test.ts, is that the LIVE boot supplies a non-empty list - doRandart takes the corpus as an argument, so every unit test passed with it empty.	RANDNAME_TOLKIEN from the names datafile) is not ported; artifactGenName
note-rewritten	the note was rewritten in 1085c3494 "The options a player saves for their NEXT character had nowhere to go"; parity/ledger/options.yaml still carries 2 deferral note(s), none with this text	parity/ledger/options.yaml	76	real	options_save_custom / restore_custom / restore_maintainer - the per-user customized-defaults files in ANGBAND_DIR_USER. Now buildable: the host seam and the pref-file writer both exist	(ANGBAND_DIR_USER). Filesystem-bound and menu-adjacent; deferred with
note-deleted	the note was deleted in 0b2c72530 "The state you have, and the state you think you have"; parity/ledger/player-calcs-bonuses.yaml now carries no deferral note at all	parity/ledger/player-calcs-bonuses.yaml	78	ported	CLOSED by PORT_TODO 2.6 (2026-08-06). CalcBonusesOptions.knownOnly opens the five gates upstream puts behind known_only (object_flags_known 1933-1939, el_info 1985, to_a/to_h/to_d 1997/2001/2004; state->ac 1996 is deliberately not gated), the session derives p->known_state beside p->state on every refreshDerived and once at the end of wireGame, and prt_ac, the character sheet combat panel and buildLoreColorState read it. 16 mutations, 16 kills. The row's own example was wrong: player-birth.c:1264-1267 grants all three combat runes at birth, so the to_a/to_h/to_d gates never close - what known_state withholds is resists and object flags, which is why the visible change is the monster recall colouring.	weight_limit (calcs.ts weight block). DEFERRED only: the known_only
note-rewritten	the note was rewritten in f557041cb "Two rows deferred a gap upstream does not have"; parity/ledger/player-history.yaml still carries 4 deferral note(s), none with this text	parity/ledger/player-history.yaml	75	real	find-on-sight history entries, blocked on the remembered floor-pile contents	pile contents (pre-existing #24 gap), so find-on-sight is deferred.
note-rewritten	the note was rewritten in 4c1147bc9 "The targeting preview drew walls the player had never seen"; parity/ledger/project-path.yaml still carries 2 deferral note(s), none with this text	parity/ledger/project-path.yaml	58	real	A ported function with no caller, because the UI branch that would call it is absent - worth deciding between wiring it and cordoning it	it (deferred UI), so it is currently unreached by ported callers.
note-rewritten	the note was rewritten in 6ab27480d "The shops were aging all along and nobody had watched"; parity/ledger/store-maint.yaml still carries 1 deferral note(s), none with this text	parity/ledger/store-maint.yaml	34	ported	CLOSED by PORT_TODO 2.10 (with 5.8): storeWillBuy reads both conjuncts at store/store.ts:275, `obj.flags.has(buy.flag) && flagKnown(buy.flag)`. The ledger prose still said "deferred" until 2026-08-06 - the branch is unreached at the 4.2.6 baseline (shipped buy lists carry bare tvals), which is why the stale note survived the fix.	object_flag_is_known check is deferred (knowledge system); 4.2.6 data
note-rewritten	the note was rewritten in 4b557fa2c "A short screen dropped the depth and kept the class"; parity/ledger/ui-display.yaml still carries 1 deferral note(s), none with this text	parity/ledger/ui-display.yaml	124	partial	The sidebar IS drawn, by the front end on a canvas rather than with Term_* calls (web/src/main.ts sidebarModel). update_sidebar's screen-size priority culling and from-bottom placement are genuinely absent (game/display.ts:505 says so)	- The draw half is not ported at all: update_sidebar priority culling and
note-rewritten	the note was rewritten in 803f386b8 "Thirteen of the seventeen owed items were already built"; parity/ledger/ui-entry.yaml still carries 4 deferral note(s), none with this text	parity/ledger/ui-entry.yaml	133	real	The launcher-slot reach plus KF_SHOOTS_ARROWS, same as game/ui-entry.ts:1392	KF_SHOOTS_ARROWS; that launcher-slot reach is deferred, so its contribution
